textureName,Porosity,EffectivePorosity,ResidualWaterContent,BubblingPressure_arithmatic,BubblingPressure_Geometric,PoreSizeDistribution_arithmatic,PoreSizeDistribution_geometric,WaterRetained_oneThirdbar,WaterRetained_15bar,Ks
Sand,0.437,0.417,0.02,159.8,72.6,0.694,0.592,0.091,0.033,0.05833
Loamy sand,0.437,0.401,0.035,205.8,86.9,0.553,0.474,0.125,0.055,0.01697
Sandy loam,0.453,0.412,0.041,302,146.6,0.378,0.322,0.207,0.095,0.00719
Loam,0.463,0.434,0.027,401.2,111.5,0.252,0.22,0.27,0.117,0.00367
Silt loam,0.501,0.486,0.015,508.7,207.6,0.234,0.211,0.33,0.133,0.00189
Sandy clay loam,0.398,0.33,0.068,594.1,280.8,0.319,0.25,0.255,0.148,0.00119
Clay loam,0.464,0.39,0.075,564.3,258.9,0.242,0.194,0.318,0.197,0.000639
Silty clay loam,0.471,0.432,0.04,703.3,325.6,0.177,0.151,0.366,0.208,0.000417
Sandy clay,0.43,0.321,0.109,794.8,291.7,0.223,0.168,0.339,0.239,0.00033
Silty clay,0.479,0.423,0.056,764.5,341.9,0.15,0.127,0.387,0.25,0.00025
Clay,0.475,0.385,0.09,856,373,0.165,0.131,0.396,0.272,0.000166667
