ID	kc1	kc2	kc3	kc4	kc5	kc6	kc7	kc8	kc9	kc10	kc11	kc12
11	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
12	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
21	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
22	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
23	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
31	0.45	0.60	0.60	0.60	0.55	0.45	0.35	0.30	0.30	0.30	0.30	0.30
32	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
33	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
41	0.75	0.75	0.72	0.68	0.66	0.66	0.66	0.69	0.72	0.74	0.75	0.75
42	0.89	0.90	0.90	0.88	0.80	0.80	0.80	0.80	0.81	0.83	0.86	0.88
43	0.82	0.82	0.81	0.78	0.73	0.73	0.73	0.75	0.77	0.79	0.80	0.81
51	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
61	0.55	0.57	0.59	0.60	0.82	1.00	1.00	1.00	0.80	0.54	0.52	0.53
71	0.77	0.74	0.71	0.75	0.91	0.91	0.91	0.91	0.89	0.86	0.83	0.80
81	0.75	0.73	0.71	0.81	1.02	1.02	1.02	0.91	0.84	0.82	0.79	0.77
82	0.60	0.60	0.60	0.60	0.84	1.15	1.15	0.81	0.60	0.60	0.60	0.60
83	0.49	0.53	0.58	0.60	1.11	1.11	1.02	0.26	0.30	0.35	0.39	0.44
84	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
85	0.75	0.73	0.71	0.81	1.02	1.02	1.02	0.91	0.84	0.82	0.79	0.77
89	0.65	0.63	0.61	0.63	0.73	0.73	0.73	0.74	0.74	0.72	0.70	0.68
91	0.57	0.60	0.81	1.05	1.15	1.15	1.15	0.62	0.34	0.40	0.46	0.51
92	0.57	0.60	0.81	1.05	1.15	1.15	1.15	0.62	0.34	0.40	0.46	0.51
95	0.57	0.60	0.81	1.05	1.15	1.15	1.15	0.62	0.34	0.40	0.46	0.51


